"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","BOOKERCD","reason","GDLINEHI","opafy","SENTRNGE"
"40215","6","2017","51","63","0","0","0","0","0","0","NA","0","1","0","4","1","1","58","16","1","10","2 17 60 61 650","2B1.1",2017,NA
"40216","6","2017","37","37","1","0","0","0","0","0","NA","0","1","0","0","2","0","35","34","0","0","","2K2.1",2017,NA
"40217","6","2017","6","10","4","0","0","0","0","0","NA","0","1","0","0","3","0","24","6","1","6","48","2L1.2",2017,NA
"40218","6","2017","14","12","0","0","0","0","0","0","NA","0","1","0","0","3","0","22","10","0","0","","2L1.1",2017,NA
"40219","6","2017","120","108","0","0","0","120","0","0","1","0","1","0","0","3","0","35","2","1","0","","2D1.1",2017,NA
"40220","6","2017","12.03","10","4","0","0","0","0","0","NA","0","1","0","0","3","0","22","11","1","0","","2L1.2",2017,NA
"40221","6","2017","6","10","4","0","0","0","0","0","NA","0","1","0","0","3","0","24","8","1","6","48","2L1.2",2017,NA
"40222","6","2017","130","188","2","0","0","60","0","0","0","0","1","0","0","6","0","33","34","0","10","1206 1200 61 1200 826","2D1.1",2017,NA
"40223","6","2017","30","24","9","0","0","0","0","0","NA","0","1","0","0","1","0","40","21","0","0","","2K2.1",2017,NA
"40224","10","2016","18","18","0","0","0","0","0","0","NA","0","2","0","0","2","0","35","12","0","0","","2B1.1",2017,NA
"40225","10","2016","1.16","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","27","12","1","0","","2L1.2",2017,NA
"40226","6","2017","0","8","3","0","0","0","0","0","NA","1","2","0","0","1","1","49","23","0","9","761 2 3 4 1206 7 14 15 60 61","2B1.1",2017,NA
"40227","6","2017","7","1","2","0","0","0","0","0","NA","0","1","0","0","3","0","25","3","1","0","","2L1.2",2017,NA
"40228","6","2017","130","292","13","0","0","240","1","0","0","0","1","0","2","2","0","45","11","0","5","19","2D1.1",2017,NA
"40229","6","2017","77","77","14","0","0","0","0","0","NA","0","1","0","0","1","0","29","12","0","0","","2K2.1",2017,NA
"40230","6","2017","33","33","4","0","0","0","0","0","NA","0","1","0","0","3","0","21","12","0","0","","2L1.1",2017,NA
"40231","6","2017","94","94","5","0","0","24","0","0","NA","0","1","0","3","1","0","41","34","1","0","","2B1.1",2017,NA
"40232","6","2017","120","120","0","0","0","120","0","0","NA","0","1","0","0","1","0","53","12","0","0","","2G1.3",2017,NA
"40233","6","2017","12.03","15","3","0","0","0","0","0","NA","0","1","0","0","3","0","25","7","1","6","48","2L1.2",2017,NA
"40234","6","2017","360","360","11","0","1","120","0","0","0","0","1","0","3","3","0","45","9","1","0","","2D1.1",2017,NA
"40235","6","2017","94","125","5","1","0","84","0","0","NA","0","1","0","0","2","0","21","9","0","5","19","2B3.1",2017,NA
"40236","10","2016","0","6","0","0","0","0","0","0","NA","0","2","0","0","2","0","63","11","0","11","1205","2B1.1",2017,NA
"40237","6","2017","6","41","0","0","0","0","0","0","NA","0","2","0","0","1","1","55","34","0","5","19 17","2B1.1",2017,NA
"40238","6","2017","8","8","2","0","0","0","0","0","NA","0","1","0","0","3","0","34","3","1","0","","2L1.2",2017,NA
"40239","6","2017","51","46","11","0","0","0","0","0","NA","0","1","0","0","2","0","26","21","0","0","","2K2.1",2017,NA
"40240","6","2017","7","1","3","0","0","0","0","0","NA","0","1","0","0","3","0","37","0","1","0","","2L1.2",2017,NA
"40241","6","2017","12.03","12","0","0","0","0","0","0","NA","0","1","0","0","3","0","24","5","1","0","","2L1.1",2017,NA
"40242","6","2017","6.46","87","1","0","0","120","0","0","1","0","1","0","0","1","0","38","12","0","5","19 15 16 61 668 673 730 1211","2D1.1",2017,NA
"40243","6","2017","42","42","4","0","0","24","0","0","NA","0","1","0","0","2","1","35","21","0","0","","2B1.1",2017,NA
"40244","6","2017","6","6","4","0","0","0","0","0","NA","0","1","0","0","2","0","31","34","0","0","","2B1.1",2017,NA
"40245","6","2017","8","8","2","0","0","0","0","0","NA","0","1","0","0","3","0","57","3","1","0","","2L1.2",2017,NA
"40246","6","2017","6","24","2","0","0","0","0","0","NA","1","2","0","0","2","0","44","22","0","10","2 3 4 60 61","2K2.1",2017,NA
"40247","10","2016","5.43","0","0","0","0","0","0","0","NA","0","1","0","0","6","0","41","10","1","0","","2B1.1",2017,NA
"40248","6","2017","70","70","6","0","0","0","0","0","NA","0","1","0","0","3","0","35","9","0","0","","2K2.1",2017,NA
"40249","6","2017","97","97","0","0","0","0","0","0","NA","0","2","0","0","1","0","70","16","0","0","","2B1.1",2017,NA
"40250","6","2017","24","37","0","0","0","0","0","0","NA","0","1","0","0","2","0","29","12","1","10","44 61 673 831","2B1.1",2017,NA
"40251","6","2017","162","70","9","0","0","0","0","0","NA","0","1","0","0","1","0","30","21","0","0","","2K2.1",2017,NA
"40252","6","2017","3.2","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","32","6","1","0","","2L1.2",2017,NA
"40253","6","2017","48","57","8","0","0","0","0","0","NA","0","1","0","0","2","0","25","21","0","5","19","2K2.1",2017,NA
"40254","6","2017","21","15","9","0","0","0","0","0","0","0","1","0","0","2","0","40","21","0","0","","2D1.1",2017,NA
"40255","6","2017","0","57","1","0","1","0","0","0","NA","0","3","0","0","2","0","21","34","0","10","11 1211 15 1209 1200 60 61 650 668 686 703","2B3.1",2017,NA
"40256","6","2017","48","70","0","0","0","0","0","0","NA","1","2","0","0","1","0","38","16","0","10","2 3 4 1206 7 11 17 44 60 61 62 64 831","2B1.1",2017,NA
"40257","6","2017","12","8","2","0","0","0","0","0","NA","0","2","-2","0","1","0","30","9","1","0","","2E4.1",2017,NA
"40258","10","2016","36","36","0","0","0","0","0","0","NA","0","2","0","0","2","1","34","33","0","0","","2T1.1",2017,NA
"40259","6","2017","22","18","6","0","0","0","0","0","NA","0","1","0","0","3","0","38","10","1","0","","2L1.2",2017,NA
"40260","6","2017","12.03","18","1","0","0","0","0","0","NA","0","3","0","0","3","0","49","34","0","7","1200 500","2T1.1",2017,NA
"40261","6","2017","24","46","5","0","0","0","0","0","NA","0","3","0","0","2","0","32","0","0","10","1200 61 1200","2K2.1",2017,NA
"40262","6","2017","29","30","1","0","0","24","0","0","NA","0","2","0","0","2","0","25","34","0","10","14 17 60 668 777 835","2B1.1",2017,NA
"40263","6","2017","24","24","6","0","0","0","0","0","0","0","1","0","0","3","0","33","0","0","0","","2D1.1",2017,NA
"40264","6","2017","2.89","8","2","0","0","0","0","0","NA","0","1","0","0","3","0","27","12","1","6","48","2L1.2",2017,NA
