"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","SENTRNGE","reason","GDLINEHI","opafy"
"133","12","2020","21","21","10","0","0","0","0","0","NA","0","1","0","0","3","0","23","11","1","0","","2L1.2",2021
"134","12","2020","180","188","0","0","0","120","0","0","NA","0","1","0","0","1","0","38","16","0","7","2 4 12 16 60 61 650 699","2G1.3",2021
"135","12","2020","18","15","5","0","0","0","0","0","0","0","1","0","0","2","0","34","11","0","0","","2D1.1",2021
"136","12","2020","96","77","18","0","0","60","0","0","0","0","1","0","0","1","0","49","9","0","0","","2D1.1",2021
"137","10","2020","60","60","3","0","0","0","0","0","NA","0","3","0","4","1","0","44","16","0","0","","2B1.1",2021
"138","12","2020","6.03","12","0","0","0","0","0","0","1","0","2","0","0","6","1","36","34","0","8","14 15 17 18 676 668 686 828","2D1.1",2021
"139","12","2020","98","135","5","0","0","120","0","0","0","0","1","0","0","1","0","49","21","0","2","19","2D1.1",2021
"140","12","2020","30","37","0","0","0","60","0","0","1","0","1","-2","0","3","0","24","32","0","8","2 3 60 61 650 668","2D1.1",2021
"141","12","2020","46","51","2","0","0","0","0","0","0","0","1","0","0","2","0","39","21","0","8","875","2D1.1",2021
"142","12","2020","0","1","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","1","0","33","NA","0","7","500","NA",2021
"143","12","2020","8","12","0","0","0","0","0","0","NA","0","1","0","0","3","0","27","10","1","3","48","2L1.1",2021
"144","12","2020","87","70","6","0","1","60","0","0","0","0","1","0","0","1","0","46","9","0","0","","2D1.1",2021
"145","12","2020","15","15","6","0","0","0","0","0","NA","0","1","0","0","3","1","48","21","1","0","","2L2.2",2021
"146","12","2020","78","63","6","0","0","60","0","0","0","0","1","0","0","3","0","27","23","0","0","","2D1.1",2021
"147","12","2020","6","0","1","0","0","0","0","0","NA","0","1","0","0","3","1","29","11","0","0","","2B1.1",2021
"148","10","2020","0.03","108","2","0","0","120","0","0","2","0","1","-3","0","3","1","42","5","1","8","2 1206 60 61 650 692 875","2D1.1",2021
"149","12","2020","60.03","70","0","1","0","60","0","0","NA","0","1","0","0","2","0","41","10","0","8","2 3 4 1206","2K2.1",2021
"150","12","2020","6","8","3","0","0","0","0","0","NA","0","1","0","0","3","0","40","34","0","3","48 703","2L1.1",2021
"151","12","2020","0","10","0","0","0","0","0","0","NA","0","2","0","0","2","0","23","12","0","8","1 2 3 4 5 1206","2K2.1",2021
"152","12","2020","112.33","151","13","0","0","120","0","0","0","0","1","0","0","1","0","23","11","0","8","2 3 4 15 61 673 828","2D1.1",2021
"153","12","2020","120","120","27","0","0","0","0","0","NA","0","1","0","4","1","0","35","21","0","0","","2S1.1",2021
"154","12","2020","2.82","6","1","0","0","0","0","0","NA","0","1","0","0","3","0","34","NA","1","8","2 14 17 61 876","2L1.2",2021
"155","12","2020","36","78","4","0","0","60","0","0","2","0","2","-2","0","1","0","27","32","0","3","48 2 1206 61 686 875","2D1.1",2021
"156","12","2020","22","37","3","0","0","0","0","0","NA","0","2","0","0","2","0","34","34","0","8","1 2 3 1206 7","2B1.1",2021
"157","12","2020","14","10","6","0","0","0","0","0","NA","0","1","0","0","3","0","29","32","1","0","","2L1.2",2021
"158","12","2020","252","292","7","0","0","120","0","0","0","0","1","0","0","2","0","35","21","0","8","761","2D1.1",2021
"159","10","2020","12.03","18","0","0","0","0","0","0","NA","0","1","0","0","2","0","23","32","0","8","14 1209 60 61 650 1200 703","2K2.1",2021
"160","12","2020","25","30","0","0","0","60","0","0","1","0","2","0","0","2","0","41","32","0","2","19","2D1.1",2021
"161","12","2020","9.43","24","0","0","0","60","0","0","1","0","1","-2","0","3","0","28","3","0","3","48 17 1200 1200","2D1.1",2021
"162","12","2020","134","188","7","0","1","120","0","0","0","0","1","0","0","1","0","39","11","0","2","19 52","2D1.1",2021
"163","12","2020","180","180","0","0","0","180","0","0","NA","0","1","0","0","3","0","33","12","0","0","","2K1.4",2021
"164","12","2020","40","78","0","0","0","0","0","0","NA","0","2","0","0","3","0","21","9","0","8","2 11 61 826","2G2.2",2021
"165","12","2020","28","37","7","0","0","0","0","0","NA","0","1","0","0","3","0","28","12","0","5","828 11 14 15 61 673 872 876","2K2.1",2021
"166","12","2020","0","46","0","0","0","0","0","0","1","0","2","-2","0","3","1","39","12","1","8","2 3 4 1206 16 17 60 61 676 650 673 686 826","2D1.1",2021
"167","12","2020","151","151","3","0","1","120","0","0","0","0","1","0","0","2","0","42","11","0","0","","2D1.1",2021
"168","12","2020","84","70","7","0","0","0","0","0","NA","0","1","0","0","2","0","28","32","0","0","","2K2.1",2021
"169","12","2020","156","240","13","0","0","60","0","0","NA","0","1","0","0","1","0","45","23","0","8","2 3 4 1206 1200 839","2G2.2",2021
"170","10","2020","12","8","3","0","0","0","0","0","NA","0","2","0","0","6","0","51","37","0","0","2 3 1206 60","2C1.1",2021
"171","12","2020","66","78","2","0","1","60","0","0","0","0","1","0","0","2","0","26","34","0","5","11 15 1200 703","2D1.1",2021
"172","12","2020","120","120","14","0","0","120","0","0","0","0","1","0","0","2","0","53","21","0","0","","2D1.1",2021
